pdf_path,pdf_filename,well_family,rank,keyword,tfidf_score
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_27.pdf,15_9_19_A_1997_07_27.pdf,15_9_19,9,pooh milling,0.160815
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_27.pdf,15_9_19_A_1997_07_27.pdf,15_9_19,10,tih,0.145796
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_28.pdf,15_9_19_A_1997_07_28.pdf,15_9_19,1,whipstock,0.2893
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_28.pdf,15_9_19_A_1997_07_28.pdf,15_9_19,2,milling,0.283337
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_28.pdf,15_9_19_A_1997_07_28.pdf,15_9_19,3,windowmaster whipstock,0.246581
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_28.pdf,15_9_19_A_1997_07_28.pdf,15_9_19,4,windowmaster,0.246581
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_28.pdf,15_9_19_A_1997_07_28.pdf,15_9_19,5,pooh milling,0.239442
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_28.pdf,15_9_19_A_1997_07_28.pdf,15_9_19,6,flowchecked slug,0.219439
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_28.pdf,15_9_19_A_1997_07_28.pdf,15_9_19,7,tih,0.217079
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_28.pdf,15_9_19_A_1997_07_28.pdf,15_9_19,8,bridge plug,0.215707
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_28.pdf,15_9_19_A_1997_07_28.pdf,15_9_19,9,bridge,0.196424
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_28.pdf,15_9_19_A_1997_07_28.pdf,15_9_19,10,window,0.159684
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_29.pdf,15_9_19_A_1997_07_29.pdf,15_9_19,1,whipstock,0.430939
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_29.pdf,15_9_19_A_1997_07_29.pdf,15_9_19,2,window,0.275573
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_29.pdf,15_9_19_A_1997_07_29.pdf,15_9_19,3,milled,0.245717
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_29.pdf,15_9_19_A_1997_07_29.pdf,15_9_19,4,tih,0.196111
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_29.pdf,15_9_19_A_1997_07_29.pdf,15_9_19,5,flow rate,0.190789
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_29.pdf,15_9_19_A_1997_07_29.pdf,15_9_19,6,tih tih,0.168853
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_29.pdf,15_9_19_A_1997_07_29.pdf,15_9_19,7,attempted circulate,0.168853
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_29.pdf,15_9_19_A_1997_07_29.pdf,15_9_19,8,unplugged,0.168853
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_29.pdf,15_9_19_A_1997_07_29.pdf,15_9_19,9,reverse circulated,0.168853
