op_id,well_family,pdf_path,report_date,start_time,end_depth_md,main_activity,sub_activity,state,severity_score,severity_contributors,remark
9905,15_9_F_14,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_14_2016_08_12.pdf,2016-08-12,00:00,0.0,interruption,repair,ok,6,FISHING(+6),"Installed lifting sub, P/U string and set slips on casing. Released spear from fish. Inspected spear grapple. No signs of impact on grapple observed. Grapple in good condition"
9908,15_9_F_14,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_14_2016_08_12.pdf,2016-08-12,01:45,0.0,interruption,repair,ok,6,FISHING(+6),Rearanged spear BHA in foxhole to include 1x string stab (12in OD) above the spear grapple
9757,15_9_F_14,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_14_2016_08_06.pdf,2016-08-06,12:15,0.0,plug abandon,oth,ok,6,FISHING(+6),Released spear and inspected grapple. Grapple in good condition. R/B spear BHA (run#13) in derrick er
9782,15_9_F_14,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_14_2016_08_07.pdf,2016-08-07,13:45,1366.0,plug abandon --,,ok,6,FISHING(+6),Performed Pre-job Meeting for engaging spear and R/D casing pulling equipment. Observed fluid spraying out of control line other
9784,15_9_F_14,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_14_2016_08_07.pdf,2016-08-07,14:30,1366.0,plug abandon --,,ok,6,FISHING(+6),P/U spear and engaged in 7in tubing. RIH w/ spear below rotary to change slips other
9788,15_9_F_14,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_14_2016_08_07.pdf,2016-08-07,17:30,2278.0,plug abandon,t,ok,6,FISHING(+6),RIH w/ tubing on spear to 2278m. Avg. tripping speed 680 m/hr. rip
9795,15_9_F_14,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_14_2016_08_08.pdf,2016-08-08,02:30,1096.5,plug abandon,trip,ok,6,FISHING(+6),"Released spear from tubing: set down 30ton, 2x turns right, pull up 200m to confirm free. Top of tubing in the well at 1096,5m"
9796,15_9_F_14,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_14_2016_08_08.pdf,2016-08-08,02:45,0.0,plug abandon,trip,ok,6,FISHING(+6),"POOH w/ spear BHA (run#16) on 5,5in DP to surface. Average pulling speed 703m/hour"
9797,15_9_F_14,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_14_2016_08_08.pdf,2016-08-08,04:15,0.0,plug abandon,othe,ok,6,FISHING(+6),"POOH w/ spear BHA (run#16), inspected and R/B same r"
9824,15_9_F_14,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_14_2016_08_08.pdf,2016-08-08,22:30,0.0,plug abandon,othe,ok,6,FISHING(+6),"P/U and M/U w/ ITCO spear (BHA#19). RIH, took up/down weights: 70t up/67t down. Engaged fish r"
