from_activity,to_activity,count
CASING,BOP_OPERATION,11
TRIP_IN,FLOW_CHECK,11
TIGHT_HOLE,TRIP_OUT,11
TIGHT_HOLE,TIGHT_HOLE,11
SURVEY,OTHER,11
WAIT,WAIT,11
FLOW_CHECK,DRILL,11
PRESSURE_TEST,DRILL,11
TRIP_IN,WELL_CONTROL,11
FISHING,TRIP_IN,11
CEMENT,TOOLBOX_TALK,11
DRILL,FLOW_CHECK,11
RIG_DOWN,BOP_OPERATION,10
LAY_DOWN,TRIP_IN,10
BOP_OPERATION,REPAIR,10
LAY_DOWN,BOP_OPERATION,10
TRIP_OUT,FISHING,10
TRIP_OUT,SURVEY,10
BOP_OPERATION,CASING,10
CASING,FISHING,10
BOP_OPERATION,PRESSURE_TEST,10
BOP_OPERATION,RIG_UP,10
RIG_DOWN,TOOLBOX_TALK,10
TIGHT_HOLE,CIRCULATE,9
LAY_DOWN,MAKE_UP,9
RIG_UP,EQUIPMENT_FAILURE,9
REPAIR,DRILL,9
WELL_CONTROL,TRIP_OUT,9
BOP_OPERATION,WELL_CONTROL,9
REPAIR,MAKE_UP,9
TOOLBOX_TALK,CEMENT,9
REPAIR,BOP_OPERATION,8
WAIT,TRIP_IN,8
RIG_DOWN,EQUIPMENT_FAILURE,8
RIG_DOWN,OTHER,8
RIG_UP,DRILL,8
FLOW_CHECK,TRIP_IN,8
TIGHT_HOLE,DRILL,8
RIG_UP,CASING,8
MAKE_UP,CASING,8
DRILL,STUCK_PIPE,8
WELL_CONTROL,BOP_OPERATION,8
EQUIPMENT_FAILURE,LAY_DOWN,8
BOP_OPERATION,CIRCULATE,7
FLOW_CHECK,BOP_OPERATION,7
OTHER,WAIT,7
CIRCULATE,PRESSURE_TEST,7
REPAIR,EQUIPMENT_FAILURE,7
MAKE_UP,REPAIR,7
MAKE_UP,CEMENT,7
DRILL,WAIT,7
FLOW_CHECK,EQUIPMENT_FAILURE,7
CIRCULATE,SURVEY,7
LAY_DOWN,LAY_DOWN,7
TOOLBOX_TALK,RIG_UP,7
PRESSURE_TEST,OTHER,7
REPAIR,TOOLBOX_TALK,7
TIGHT_HOLE,TRIP_IN,6
BOP_OPERATION,RIG_DOWN,6
RIG_DOWN,TRIP_IN,6
TRIP_IN,RIG_UP,6
MAKE_UP,TRIP_OUT,6
FISHING,BOP_OPERATION,6
TRIP_IN,LAY_DOWN,6
CASING,REPAIR,6
TRIP_OUT,WAIT,6
CIRCULATE,STUCK_PIPE,6
BOP_OPERATION,LAY_DOWN,6
TOOLBOX_TALK,WELL_CONTROL,6
CEMENT,REPAIR,6
OTHER,PRESSURE_TEST,6
TRIP_IN,FISHING,6
TOOLBOX_TALK,TOOLBOX_TALK,6
CEMENT,PRESSURE_TEST,6
CEMENT,RIG_UP,6
TRIP_IN,WAIT,5
STUCK_PIPE,FISHING,5
CASING,FLOW_CHECK,5
STUCK_PIPE,STUCK_PIPE,5
WAIT,BOP_OPERATION,5
BOP_OPERATION,WAIT,5
TRIP_OUT,TIGHT_HOLE,5
CIRCULATE,BOP_OPERATION,5
RIG_DOWN,DRILL,5
CIRCULATE,WELL_CONTROL,5
EQUIPMENT_FAILURE,REPAIR,5
FISHING,TRIP_OUT,5
DRILL,WELL_CONTROL,5
OTHER,SURVEY,5
TRIP_IN,SURVEY,5
CASING,STUCK_PIPE,5
CEMENT,WELL_CONTROL,5
WELL_CONTROL,CEMENT,5
SURVEY,CIRCULATE,5
LAY_DOWN,FISHING,5
RIG_UP,MAKE_UP,5
SURVEY,TRIP_IN,5
EQUIPMENT_FAILURE,WELL_CONTROL,5
PRESSURE_TEST,PRESSURE_TEST,5
WELL_CONTROL,TRIP_IN,5
BOP_OPERATION,FISHING,5
PRESSURE_TEST,EQUIPMENT_FAILURE,5
RIG_UP,TOOLBOX_TALK,5
WELL_CONTROL,TOOLBOX_TALK,5
TRIP_IN,RIG_DOWN,4
EQUIPMENT_FAILURE,RIG_DOWN,4
TRIP_OUT,STUCK_PIPE,4
FISHING,RIG_UP,4
CASING,TIGHT_HOLE,4
DRILL,TIGHT_HOLE,4
WAIT,EQUIPMENT_FAILURE,4
STUCK_PIPE,TRIP_IN,4
CIRCULATE,REPAIR,4
WAIT,TRIP_OUT,4
SURVEY,EQUIPMENT_FAILURE,4
REPAIR,CASING,4
TIGHT_HOLE,EQUIPMENT_FAILURE,4
MAKE_UP,FISHING,4
EQUIPMENT_FAILURE,FLOW_CHECK,4
MAKE_UP,WELL_CONTROL,4
TIGHT_HOLE,CASING,4
TRIP_OUT,WELL_CONTROL,4
PRESSURE_TEST,TRIP_IN,4
MAKE_UP,CIRCULATE,4
FISHING,DRILL,4
TRIP_IN,PRESSURE_TEST,4
CEMENT,MAKE_UP,4
PRESSURE_TEST,CEMENT,4
RIG_UP,WELL_CONTROL,4
WELL_CONTROL,WELL_CONTROL,4
EQUIPMENT_FAILURE,PRESSURE_TEST,4
LAY_DOWN,CASING,4
CASING,LAY_DOWN,4
FLOW_CHECK,FLOW_CHECK,4
REPAIR,CEMENT,4
FLOW_CHECK,WELL_CONTROL,4
